,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
195,Basic-Fit,https://www.yelp.de/biz/basic-fit-levallois-perret-2,,,,,,,,,,,,,,
196,Body Next,https://www.yelp.de/biz/body-next-eaubonne,,,,,,,,,,,,,,
197,Hangar Fit,https://www.yelp.de/biz/hangar-fit-les-lilas,,,,,,,,,,,,,,
198,Gym Sante,https://www.yelp.de/biz/gym-sante-st-maur-des-fosses,,,,,,,,,,,,,,
199,Gymspa,https://www.yelp.de/biz/gymspa-epinay-sur-seine,,,,,,,,,,,,,,
200,Coach Sportif Seniors,https://www.yelp.de/biz/coach-sportif-seniors-paris,5.0,,,,,,,,,,,,,
201,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-6,,,,,,,,,,,,,,
202,Vandycke Sandra,https://www.yelp.de/biz/vandycke-sandra-cr%C3%A9teil-3,,,,,,,,,,,,,,
203,Gymnase de la Porte de la Plaine,https://www.yelp.de/biz/gymnase-de-la-porte-de-la-plaine-paris,,,,,,,,,,,,,,
204,Basic-Fit,https://www.yelp.de/biz/basic-fit-clichy-2,,,,,,,,,,,,,,
205,Dequin Michel,https://www.yelp.de/biz/dequin-michel-montmorency,,,,,,,,,,,,,,
206,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-2,1.0,,,,,,,,,,,,,
207,Centre 16,https://www.yelp.de/biz/centre-16-maisons-alfort-3,,,,,,,,,,,,,,
208,V I P Forme,https://www.yelp.de/biz/v-i-p-forme-thiais,,,,,,,,,,,,,,
209,Fitness Park,https://www.yelp.de/biz/fitness-park-courbevoie-2,2.0,,,,,,,,,,,,,
210,Neoness,https://www.yelp.de/biz/neoness-paris-19,,,,,,,,,,,,,,
211,S.E.R.A.P.S.E,https://www.yelp.de/biz/s-e-r-a-p-s-e-montreuil-sous-bois,,,,,,,,,,,,,,
212,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-levallois-perret,4.0,,,,,,,,,,,,,
213,Gigafit,https://www.yelp.de/biz/gigafit-paris,,,,,,,,,,,,,,
214,Six,https://www.yelp.de/biz/six-neuilly-sur-seine-2,,,,,,,,,,,,,,
215,Energie Forme,https://www.yelp.de/biz/energie-forme-asni%C3%A8res,5.0,,,,,,,,,,,,,
216,4p,https://www.yelp.de/biz/4p-paris-2,,,,,,,,,,,,,,
217,Formtonus,https://www.yelp.de/biz/formtonus-thiais,,,,,,,,,,,,,,
218,Gymnase Henri Wallon,https://www.yelp.de/biz/gymnase-henri-wallon-bagneux,,,,,,,,,,,,,,
219,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-16,,,,,,,,,,,,,,
220,Nes,https://www.yelp.de/biz/nes-plessis-robinson-le,,,,,,,,,,,,,,
221,Club Med Gym - Monceau,https://www.yelp.de/biz/club-med-gym-monceau-paris,2.0,,,,,,,,,,,,,
222,Neoness,https://www.yelp.de/biz/neoness-aubervilliers,,,,,,,,,,,,,,
223,Fitness First,https://www.yelp.de/biz/fitness-first-paris,,,,,,,,,,,,,,
224,Dynamo Cycling,https://www.yelp.de/biz/dynamo-cycling-paris-2,5.0,,,,,,,,,,,,,
225,Re Corps,https://www.yelp.de/biz/re-corps-chennevi%C3%A8res-sur-marne-2,,,,,,,,,,,,,,
226,FitnessForMe,https://www.yelp.de/biz/fitnessforme-sucy-en-brie,,,,,,,,,,,,,,
227,Les Thermes de Paris,https://www.yelp.de/biz/les-thermes-de-paris-paris-4,,,,,,,,,,,,,,
228,Neoness,https://www.yelp.de/biz/neoness-paris-8,2.0,,,,,,,,,,,,,
229,Fitness Park,https://www.yelp.de/biz/fitness-park-paris-6,3.0,,,,,,,,,,,,,
230,Physical Center 305,https://www.yelp.de/biz/physical-center-305-vitry-sur-seine-2,,,,,,,,,,,,,,
231,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-19,,,,,,,,,,,,,,
232,L’Orange Bleue-Clamart,https://www.yelp.de/biz/l-orange-bleue-clamart-clamart,,,,,,,,,,,,,,
233,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-18,,,,,,,,,,,,,,
234,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-22,,,,,,,,,,,,,,
235,Fitness Park,https://www.yelp.de/biz/fitness-park-v%C3%A9lizy-villacoublay-4,3.0,,,,,,,,,,,,,
236,Le Club,https://www.yelp.de/biz/le-club-thiais,,,,,,,,,,,,,,
237,Rem-Gym,https://www.yelp.de/biz/rem-gym-paris,,,,,,,,,,,,,,
238,Sante Fitness,https://www.yelp.de/biz/sante-fitness-bourg-la-reine,,,,,,,,,,,,,,
239,Neoness,https://www.yelp.de/biz/neoness-fontenay-sous-bois-4,4.0,,,,,,,,,,,,,
240,Neoness,https://www.yelp.de/biz/neoness-asni%C3%A8res-sur-seine,,,,,,,,,,,,,,
241,Fitness Park,https://www.yelp.de/biz/fitness-park-neuilly-plaisance,4.0,,,,,,,,,,,,,
242,Clara,https://www.yelp.de/biz/clara-paris,,,,,,,,,,,,,,
243,Bassin Ecole Mairie de Paris,https://www.yelp.de/biz/bassin-ecole-mairie-de-paris-paris-2,,,,,,,,,,,,,,
244,Centre Convention,https://www.yelp.de/biz/centre-convention-paris-2,,,,,,,,,,,,,,
245,Bodycare,https://www.yelp.de/biz/bodycare-clichy-2,3.0,,,,,,,,,,,,,
246,Gymnase Vaugirard Littré,https://www.yelp.de/biz/gymnase-vaugirard-littr%C3%A9-paris-2,,,,,,,,,,,,,,
247,Energie Forme,https://www.yelp.de/biz/energie-forme-enghien-les-bains,,,,,,,,,,,,,,
